"Electrodermal activity, mean ","Blood volume pulse, standard deviation","Electrodermal activity, 75th percentile ","Skin Temperature, median ","Electrodermal activity, maximum ","Skin temperature, mean ","Heart rate, maximum ","AU07 (lid tightener), mean","Wrist Acceleration in Y-axis, mean ","AU45, blink count","Gaze angle in Y-axis, mean ","AU06 (cheek raiser), mean","AU04 (brow lowerer), standard deviation","AU14 (dimpler), mean",Productivity,Mood,Stress_Numeric,Stress
0.1064757429,42.48939024,-0.5167142432,-1.233696735,1.08866532,-0.284169559,17.871492,-0.0355993217,8.35,12,0.2276761756,0.009699481731,0.2009059295,0.1704950117,15.5,-2.5,20,Boredom
0.1086745953,33.92917645,-2.249379789,-0.8622585702,1.6178918,-0.3209446023,19.15860952,-0.0355993217,8.349,5,0.2629495468,-0.002417737451,0.4008048604,0.192349599,15.5,-2.5,20,Boredom
0.1096740737,38.01319034,-0.5167142432,-1.014360845,1.611945435,-0.3555447774,13.59441316,-0.0355993217,7.5531,8,0.2141611068,-0.01733894124,0.289613635,0.1745308763,15.5,-2.5,20,Boredom
0.1107734999,35.53940169,-1.097157201,-1.100331697,1.825023512,-0.3901449525,19.52274024,-0.03510167757,7.851,9,0.2201997545,-0.002718164372,0.2849806673,0.1717133859,15.5,-2.5,20,Boredom
0.1120728218,40.15135828,-0.8069357221,-0.9228790422,3.341346573,-0.4047758837,4.046181507,-0.0355993217,7.3792,10,0.2279637303,-0.01874093354,0.1499432845,0.1705711601,15.5,-2.5,20,Boredom
0.1121727697,43.05504313,-1.816213403,-1.099229506,4.266006322,-0.4794134043,1.106000338,-0.03476991482,6.5271,8,0.2462713767,-0.005822575898,0.2021323033,0.1711803472,15.5,-2.5,20,Boredom
0.1137719351,37.93776996,-0.5167142432,-0.9614557062,1.016317879,-0.5072912596,8.86348471,-0.03460403344,5.9302,9,0.2472298922,-0.001616598992,0.08072129615,0.1720179795,15.5,-2.5,20,Boredom
0.1153711005,30.31653997,-1.383047016,-0.743222007,2.697157037,-0.5184621733,2.597684609,-0.0355993217,8.2917,10,0.1707403536,-0.02004278353,-0.001036957799,0.1696573795,15.5,-2.5,20,Boredom
0.1158708397,49.16032336,-1.816213403,-0.7123606758,3.781377579,-0.5063026832,18.34636202,-0.0355993217,8.7896,6,0.2962100354,-0.003419160523,0.3285850694,0.1793282247,15.5,-2.5,20,Boredom
0.11816964,32.20582064,-0.5167142432,-1.35824425,3.02519817,-0.5323022433,15.30795824,-0.0355993217,8.699,5,0.2715761865,0.004391939445,0.1136971252,0.1722464247,15.5,-2.5,20,Boredom
